symbol,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46
RSBN1L,12.355664,11.383455,11.363841,11.307368,11.335231,15.469367,10.1307677,11.009396,9.0590854,8.591491,10.094341,8.1248112
NPSR1,0.2631856,0,0.4733024,0.1694144,0.0874077,0.1284804,0.346628,0.1042374,0.10281,0.4007311,0.24403,0
WDR86,0.306065,0.195943,0.663686,0.290299,0.209137,0.0609513,0.178695,0.136042,0.156467,0.340328,0.4162078,0.203821
EPOR,0.433846,1.06727,0.666421,0.892505,0.490037,4.06434,1.16856,7.15469,0.468857,0.642858,0.518934,0.894379
FAM9C,0.802868,0.992208,0.467135,0.7863191,0.5439387,0.7151298,0.6632829,0.58320292,0.4087178,0.6821098,0.5184415,1.22305
CIDEC,50.214687,62.206953,71.203953,70.855172,75.913388,52.1500533,82.137563,53.935793,70.594349,77.526179,86.269643,71.731374
DCC,0,0,0,0,0.00954062,0.0207191,0.019880821,0.00900095,0,0,0,0
TAF9B,9.45264,9.4653,10.62697,11.22481,9.35037,5.5427,6.33287,7.40406,4.987357,9.83297,8.06,8.22929
PCDHB13,0,0,0,0,0.00807764,0.105713,0.0088518,0.31662,0,0,0.00913632,0.0616806
MAGI2,1.940660942,1.241051489,1.4858917,1.4711168,1.177153202,1.897533,0.648150096,1.1356063,0.82354118,1.665207,0.954289301,0.576391017
LUZP2,0.1868975,0.0260313,0.018861,0.068244146,0.03956913,0.0381118,0.00866892,0.0261742,0.020747,0.0798951,0.0371618,0.0258882
LHFPL3,0.0891883,0.136787,0.106558,0.1254421,0.0178794,0.0855472,0.215293,0.0272163,0.11172842,0.055205,0.074243,0.2144155
CHP1,203.033711,286.774763,251.790893,273.34431,210.997256,159.741325,219.75533,148.402033,159.354629,202.991751,199.358567,207.265061
RDM1,0.6085937,0.7334897,0.5309918,0.8388932,0.4674173,0.947743,1.280944,0.786211,1.061606,1.1772096,1.0829988,1.9702568
AL583828.1,0.0278548,0,0,0,0.0889574,0,0,0,0,0,0.0404438,0
HIST1H1T,0.990519,0,0.0663988,0,0.280012,0,0,0.143383,0,0.254536,0.0644021,0
C11orf96,0.12836,0.0395326,0.15768,0.0956076,0,3.50796,0,4.516001,0.015767,0,0,0
KCNJ11,0.183703,0.1985957,0.5929854,0.746732,0.4577328,0.553828,0.6684426,0.504118,0.940733,0.72934,0.456163151,0.557971
CDHR4,0.284962,0.1543603,0.3410091,0,0.1554218,0,0.0475222,0,0.1253981,0.1880055,0.1145615,0.062415
COL4A1,2.2873,2.1176,2.07815,2.4507,1.760919,1.89622,2.06395,1.4895586,1.94077,2.126365,2.11229,2.15385
RPL7P48,0.0592419,0,0,0,0.0535958,0,0,0,0.0530464,0,0,0
PLEKHG7,0,0.2216266,0.0752346,0.1734442,0.119668,0.0762791,0.1838908,0.0795963,0.0778486,0.0717992,0.04562055,0.128232
GJA4,0.108254,0.0228725,0,0,0.133881,0.0166981,0,0.027398,0.0365377,0,0.0434316,0
PTMA,1118.043539,1129.114043,1172.831997,1234.026039,1247.885008,1619.482353,1326.405276,1362.892891,1360.875174,1234.780984,1156.755088,1196.382658
HSPA14,25.41548,27.61048,29.65064,32.51494,26.35714,39.768599,30.554497,25.125781,31.3698,24.829938,24.31635,27.818877
ATP13A5,0,0,0,0,0,0.0165756,0.0208214,0,0,0,0,0
SIRT7,40.51868,35.528495,34.508314,33.875585,36.372,25.258745,28.181135,27.120816,29.854048,31.262859,36.112673,31.782429
C4orf40,0.0291199,0.139416,0.13592,0.21939,0.0803864,0.0655322,0.082151,0.0502663,0.0817689,0.190116,0.0727058,0.156637
CTC-471F3.4,0.85441,1.00759,0.723407,0.440116,0.71912,0.430736,0.777238,0.476333,0.765597,0.848642,0.645371,0.809014
IFT140,5.6125717,6.716391,5.66265,5.3286,4.96875,4.102543,3.94815,5.72051,4.659479,4.88062,3.955186,5.08733
TPM3P7,0,0,0,0.107444,0,0,0,0,0.218866,0,0,0
POTEM,0.234862,0.032948,0.0808244,0,0,0.114721,0.172384,0.258988,0.249126,0.138422,0.078717,0.122464
AGMO,3.253717,2.67301,3.118125,4.20777,4.301821,2.29284,3.70104,2.26221,3.596694,3.27243,3.40358,4.20733
CYP26C1,0.0220444,0,0,0,0,0,0.0436495,0,0.114141,0,0,0
TLR5,2.280631,2.375692,1.561144,2.178337,1.4829527,0.7196639,1.1897289,1.6397945,1.5321361,2.089952,1.283576397,3.272827
USP7,31.595549,35.627983,36.017431,36.769575,32.965013,32.748747,36.0066943,25.293857,29.591758,26.722983,30.419038,34.168342
FOXD4L3,0,0,0.00629717,0.00505162,0,0,0,0.0350253,0.0240716,0.00211905,0,0
NHLRC1,0.678469,1.07827,0.928938,0.931518,0.619902,0.930494,0.945683,0.415521,1.28113,1.14068,0.457343,0.759167
COX8C,0.105107,0.118496,0.674816,0.188812,0,0.0855231,0,0,0,0,0,0
PLEKHN1,5.2152,4.830134,6.376328,3.184818,3.039063,3.28097,2.877241888,2.762392,2.299704,3.337847,2.714214,5.869153
ZNF385C,0.1163921,0.26044995,0.4064995,0.2946115,0.3627583,0.1709859,0.12288775,0.3994404,0.14353503,0.330068,0.2348324,0.0979473
MAGEH1,0.144143,0.0779165,0.258161,0.104151,0.151828,2.48291,0.142741,1.5566,0.290807,0.268682,0.492973,0.426607
TET3,5.87587,8.50681,8.47186,8.25471,6.38523,6.5670094,6.6296,4.680274,5.02108,6.307982,5.58608,7.18979
ZNF286A,2.646679,4.047987,3.259508,4.110204687,4.062447,6.00097,3.356141,7.999075,5.923914,4.454306,2.71198,2.781272632
ISG15,15.5087,13.7313,9.85619,19.0798,14.3196,18.2998,21.3356,27.627,20.3818,15.6876,13.4875,16.4818
EXD3,12.111189,11.2990144,10.3572881,12.482104,11.1274974,8.3991494,8.7974555,7.8090268,8.905023,11.2852,9.95111,9.6004314
TCL6,1.1089792,0.4839647,1.19253555,0.7916588,0.5088561,0.3458112,0.796555,0.6623745,1.192812,0.7202759,0.622168,0.4750105
C17orf97,0,0.342843,1.38147,0.551078,0.868369,0,1.90216,2.38225,0.271207,0.324158,0.0437888,0.94631
ZKSCAN4,3.388211,2.956239,3.027828,3.205637,2.652258,5.17467,3.37854,5.844639,2.694564,3.169161,2.912116,2.80957
RGPD1,0,0,0.0399365,0,0,0,0,0.01419501,0,0.00475965,0,0
DHRS4L2,12.989708,16.0436918,17.2087768,14.014659,15.897074,20.193675,18.13338552,22.851234,17.37739097,17.17634518,16.441312,21.030204
