"symbol","FKPM_CTL_ZT10","FKPM_CTL_ZT14","FKPM_CTL_ZT18","FKPM_CTL_ZT2","FKPM_CTL_ZT22","FKPM_CTL_ZT6"
"Zfp956",6957.32,6915.33,6896.43,6326.39,6053.61,6903.28
"Zfp958",6018.42,6450.09,6232.59,5562.71,6892.76,5474.62
"Zfp964",4738.56,3958.88,4212.57,4354.66,4963.82,3897.92
"Zfpl1",11633.8,12897,12686.6,10902.7,11049.4,11202.3
"Zfpm1",4931.15,3817.34,4620.58,5527.47,3737.6,5368.53
"Zfpm2",22635.7,25403,23913.8,26118.6,28382.6,24716.4
"Zfr",113831.133333333,120153.645666667,113761.9,120723.266666667,124685.873666667,117175.577
"Zfr2",22713.5,13791.8,20379.7,17159.2,13734.8,25569.3
"Zfta",31737.2,29907.8,30704.7,30993.3,31543.9,30661.3
"Zftraf1",30139.9666666667,31639.0333333333,29590.3666666667,32703.8,30663.2333333333,31200.5333333333
"Zfx",17341.9576666667,18037.6173333333,16630.4193333333,16450.5193333333,16464.5193333333,16170.994
"Zfyve1",28717.3,30259.7,28617.2,28248.2,29823,28054.4
"Zfyve16",6036.39,3082.97,6280.2,7605.24,3600.69,6158.8
"Zfyve19",10425.9,10750.1,9806.53,11372,10364.2,11032.5
"Zfyve21",3500.16,2546.995,3692.72,3221.105,2329.345,3700.245
"Zfyve26",38402.9,39769.8,42874.2,39557.3,37213.2,36776.4
"Zfyve27",43707.45,43447.85,43500.55,43056.95,43538.35,43684.3
"Zfyve28",27988.1,27246.6,29719.7,30165.1,26500.4,28829.3
"Zfyve9",85585,101038,97460.7,95413.1,98955.8,89262.6
"Zg16",20.6514,19.734,0,0,0,0
"Zg16b",36.5721,42.3415,13.64015,9.14325,24.18425,24.3039
"Zglp1",71.852,270.137,127.605,149.9,165.341,158.279
"Zgpat",25718.7,24534.6,24669.3,26005.7,23877.5,26386.1
"Zgrf1",2875.27,3001.41,2726.39,3354.46,3087.66,2532.99
"Zhx1",122045,133285,123684,128191,132716,122116
"Zhx2",22942,22786.8,25401.6,25225.2,24019.8,24991.3
"Zhx3",70082.1,81274.2,80638.9,75590,81368,71457.3
"Zic1",9823.48,6444.18,5604,7641.72,5937.28,10997.3
"Zic2",4976.84,4035.15,4558.57,4043.41,2620.89,4960.91
"Zic3",1812.43,1659.61455,1570.5961,2238.3761,1367.525,2060.23035
"Zic4",2231.6915,1897.507755,1179.171,1641.3205,1355.836,2215.3625
"Zic5",4275.62,4359.61,3001.51,3278.09,3415.54,4597.93
"Zim1",934.443,1068.65,1155.02,1300.74,1093.31,1683.01
"Zkscan1",43082.3,44993.5,41608.1,41030.9,44990.5,40058.9
"Zkscan2",14382.2,15712.8,12541.9,15322.4,14385.3,13839.5
"Zkscan3",9643.55,9499.485,9487.33,9954.16,8387.855,9655.745
"Zkscan4",5234.48,5980.35,5187.89,5371.49,5204.5,5843.54
"Zkscan5",7919.759,8499.005,7720.6845,8455.243,8335.8005,8347.5405
"Zkscan7",6639.47,7506.17,6578.6,7386.11,7129.27,6307.86
"Zkscan8",61062.6,66471.5,66891.7,63957.5,66249.3,61685.3
"Zmat1",11835.6,13414.5,11931.7,13039.9,12113.9,12487.7
"Zmat2",59575.4,63943.85,58356,61796,60231.45,59383.3
"Zmat3",14406.5,12793.6,14671.6,15793,12938.2,14283.4
"Zmat4",39952,45548.2,46597.1,41893.9,46055.7,42562
"Zmat5",4832.91,3754.91,3795.47,4219.12,4415.02,4574.84
"Zmiz1",81297.6,69972.7,86633.2,78995.7,79510.2,80424.5
"Zmiz2",70.3975,52.5625,100.8345,47.81045,137.25525,79.5241
"Zmpste24",32813.8,32390.8,29735.4,30938,32330.8,30180.1
"Zmym1",16151.7,15880.9,14347.6,14891.8,16134.5,15516.3
"Zmym2",93838.5,109267,95843.4,100132,102919,96496.9
"Zmym3",26057.95,24715.7475,23308.45,25253.9675,25467.36975,24926.93525
"Zmym4",80456.5,83330.2,83746.5,83784.1,85602.3,81200.1
"Zmym5",33424.4,36353.5,32885.4,34843.3,39069.2,31774.7
"Zmym6",15782.89,16082.165,16371.845,16277.95,17212.08,15032.045
"Zmynd10",8287.19,6361.04,6605.66,7240.23,7616.96,7747.07
"Zmynd11",83782.4,82311.95,80832.8,80105.7,83819.35,83563.7
"Zmynd12",584.495,27.0712,170.253,135.267,721.731,234.72
"Zmynd15",915.917,595.813,793.775,717.95,360.683,699.769
"Zmynd19",3791.25,3991.76,4595.55,4394.67,5046.67,3981.58
"Zmynd8",41768.95,43678.7,48598.75,47333,47038.65,43301.4
"Znf454",6758.81,7499.265,7057.365,6584.46,7520.675,6487.21
"Znf48",13490.9,12731.3,11565,12762.2,12027.7,12618.3
"Znf660",1268.33,1972.29,1104.99,1540.28,1527.07,1634.88
"Znf740",48338.6,56869.1,51731.2,48824.1,54580.8,45633.1
"Znf750",317.754,312.247,408.108,379.33,175.459,734.705
"Znf768",6497.5,6301.09,6160.3,6235.13,5970.96,5850.79
